,title,content,date,variant,images,verified,author,rating,product,url
14,The product works well for my needs. The container's ...,"The product works well for my needs.  The container's opening is a bit awkward to put my hand in to grab the small scoop.  I purchased a different container with a very wide opening, problem solved!",29 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,RPB,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
15,Not for your infants!,"This product was given by my pharmacy in place of the thickening agent that was prescribed for my aspirating 5 month old daughter.  She immediately started having severely runny BMs after being a regular clay-once-a-dayer.  Turns out this is made of modified food starch and maltodextrin.  It even notes on the container that 1 serving of 2 Tablespoons = 1/2 fruit serving.  As a thickener for an infant, it's 2Tbsp per 4-5oz bottle - 6 times a day - or 3 fruit servings....!  No wonder she had watery poos - the kind where we change her a minimum of 3x day.  It was ridiculous and completely unsuitable for an infant. Like giving way too much apple juice for constipation.  WAY too much. Also, when used for aspirating, it doesn't thicken evenly, so it really didn't do the job for aspirating as well as it gets thicker with time so it was awful trying to get the bottles to work with daycare.  I hated all 14 days we used this product and refuse to use it again. Total nightmare. I think this may be a good product for adults but most certainly not aspirating infants.",19 Jul 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,JulieN,1.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
16,Four Stars,Easy to use...I'd use less product than they suggest and add if needed. This thickens up!!,11 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Mary B.,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
17,Great product.,I have a grandson that is  a total invalid and he has to have this added to everything he drinks and sometimes it needs to be added to certain food. Great product.,17 Jul 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,Loralie,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
18,One Star,"I tried putting it in yogurt, but it gave the yogurt a gritty unappetizing texture.",26 Apr 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,No,gandalore burgertime,1.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=44
19,Excellent service. Thank you,It is exactly what I needed/wanted and was received in a timely manner. Excellent service. Thank you.,25 May 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Dorothy Braun,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
20,It works!,"Thick-It works for those with swallowing difficulties.  It thickens liquids, reducing the choking and gagging.  Since it's tasteless, it is pretty much undetectable.  We've been using it for years.",28 Apr 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Susan,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
21,Excellent,Excellent.  Just as expected.,22 Oct 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Louis,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
22,Money saver and ease of use!,"This product saves so much in the large size.d When this is used for every drink, it is a valuable size. Thanks for offering it!",10 Jan 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,linda sloan,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
23,Two Stars,Not really what I will buy again.,25 Sep 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Magdalena,2.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
24,Four Stars,It seems to do the trick.,13 Dec 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,J. Bernard,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
25,Batch was ineffective,The container I received has been working very very poorly for us - we've been using Thick It for a few months and it has been going fine until this container. I know the consistency to look for as I'm a speech language pathologist. I've been having to add at least double the usual amount to try to thicken to the right consistency. I'm finally at my wits end having added at least 2 tsp to a 1/2 oz and it is barely past a thin consistency so I'm going to the pharmacy now to buy a different batch.,26 Nov 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Joseph M. Walz,1.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
26,Four Stars,Great for people who have trouble swallowing liquids.,26 May 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Evelyn MacKnight,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
27,great seller!,Fast shipping!A+++,28 Apr 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,tomanang,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
28,Five Stars,works really well,07 Jun 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,l bullock,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=43
29,Son recovering from pneumonia,"After a 3 week stint in ICU with pneumonia, our son was suffering from swallowing difficulties. He had a swallowing test and they recommended us using this product. It has allowed him to still enjoy all his favorite juices.",17 Aug 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Sharon Schmidtmann,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
30,great value,great product at a great value!,25 Apr 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Kristine Kelly,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
31,best price,Best price in the market,04 May 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,boston_mom,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
32,Thick-it,"Works well with liquids, not so good with solids. i thought the ad was a little misleading, but read everything twice.",03 Mar 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,GGG,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
33,use it for my kitty,"this stuff is great. I have a kitty I rescued that has no tongue, so he can't drink water. I get his water pudding consistency and mix it in with his food. He is probably the most hydrated cat around.  Will keep buying this as long as he is with us...thanks.",01 May 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,BDH,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
34,"Es muy práctico , para personas mayores que ya no pueden pasar la comida entera",Yo lo utilizo para sopas y liquidos,08 Dec 2020,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Irma Lara,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
35,Awesome,Great product came quickly,16 Apr 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Melissa Ramaker,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
36,Five Stars,Best for my elderly mother.,29 Nov 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Ewa Tupko,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
37,Five Stars,"Works as advertised, does the job.",31 May 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Gigi,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
38,Good product,Good price and quick delivery.,20 Jun 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Pamela Iose,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=42
39,Five Stars,Great I will be buy more,21 Jul 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Gerard Reilly,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
40,Five Stars,Excellent. Just as advertised.,02 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Deen Wall,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
41,Excellent product,Great price and it is what my 94 year old mother needed to prevent chocking.,29 May 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Patrick Daniels,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
42,Five Stars,Great to use when you have problems with swallowing.,08 Nov 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Kathy Balzer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
43,Separates,Separates too much even when I slowing add it to the liquid and stir it vigorously.,07 Oct 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,SF Girl,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
44,Five Stars,excellent product buy it every month,14 Mar 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,A. C. Burrell,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
45,Five Stars,good,20 Oct 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,MORAGREIKI,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
46,Five Stars,Service and product are great!,06 Oct 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,slhieter,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
47,Four Stars,needed this,09 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Kelly Roux,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
48,thanks for wonderful service!,literarly a lifesaver!!! thanks for wonderful service!,12 Jan 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Kathy Michael,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=41
49,It's OK,Not really enthused with using this,22 Feb 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,P G,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
50,Helpful,Great product!  Our one year old had dysphasia and needed this product to thicken his liquids.  It worked great with milk.,11 May 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Classics Queen,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
51,Great product for thickening liquids.,Thick it works great! We mostly use it to thicken beverages but on occasion we've used it to thicken soups. It works great and is flavorless.,24 Oct 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,B,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
52,works well,just what the doctor ordered.,26 Nov 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Srm,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
53,So far so good,"My wife has begun to have difficulty swallowing with several episodes of aspiration and I searched for some help in this regard. Her doctor suggested Thick-It. I was happy to find it on Amazon.com where most of my wife's needs come from. I have only used it for several days but it does seem to make swallowing liquids easier for her. So far there have been no further episodes of aspiration. It's easy to mix and use. I will comment further as our use of the product continues. One negative has been a supercilious and snide attitude of the dispensing company  TOG-OTC to a simple question I posed to them concerning the product. Otherwise, so far so good.",23 May 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Galleyleo,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
54,Five Stars,Does the job for my Dad's drinks.  He has problems swallowing thin liquids.,03 Apr 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,James Siman,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
55,Five Stars,good quality,24 Apr 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,MAlvarez,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
56,"Generous product size, works as expected.","Have used a couple of brands of thickening agent for folks with swallowing difficulty.  This works just like the others, comes in a nice, large container.",28 Sep 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
57,Great product,Wonderful product had to buy it again.  Helps my patient swallow any types of food highly recommend,22 Sep 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,annette hawthorne,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
58,Five Stars,Good stuff,24 Apr 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Steven A. Cohen,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=40
59,Price was good.,I need this for my elderly father who cannot drink regular thin liquids.  Price was good.,13 Feb 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,dee,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=39
60,Always satisfied,Our order was delivered as promised. We have ordered Thick-it before and are very satisfied with the product. We are glad that it comes in the bulk size as we need to use a lot of this product.,11 Oct 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Patricia,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=39
61,Fast shipping,Good product,27 Nov 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,JMAC,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=39
