,stars,title,body,date
61,5,no_title,works great,"Reviewed in the United States on April 29, 2018"
62,3,no_title,Not really enthused with using this,"Reviewed in the United States on February 22, 2018"
63,5,no_title,Great product!  Our one year old had dysphasia and needed this product to thicken his liquids.  It worked great with milk.,"Reviewed in the United States on May 11, 2018"
64,5,no_title,Thick it works great! We mostly use it to thicken beverages but on occasion we've used it to thicken soups. It works great and is flavorless.,"Reviewed in the United States on October 24, 2017"
65,5,no_title,Thickens quickly.,"Reviewed in the United States on November 22, 2019"
66,5,no_title,"My husband like it , he had a stroke","Reviewed in the United States on June 5, 2019"
67,5,no_title,Makes it thick.....made rootbeer...pretty good,"Reviewed in the United States on September 15, 2017"
68,5,no_title,"Perfect for my elderly father, who has trouble swallowing. I order these in a three can supply at a time","Reviewed in the United States on April 11, 2018"
69,5,no_title,Perfect! A++++!,"Reviewed in the United States on February 22, 2018"
70,3,no_title,It’s not smooth. It’s kind of mealy,"Reviewed in the United States on August 21, 2020"
71,5,no_title,Great to use for person with swallowing difficulties.,"Reviewed in the United States on January 12, 2018"
72,4,no_title,I need this for my elderly father who cannot drink regular thin liquids.  Price was good.,"Reviewed in the United States on February 13, 2017"
73,5,no_title,Our order was delivered as promised. We have ordered Thick-it before and are very satisfied with the product. We are glad that it comes in the bulk size as we need to use a lot of this product.,"Reviewed in the United States on October 11, 2017"
74,5,no_title,Good product,"Reviewed in the United States on November 27, 2018"
75,5,no_title,good,"Reviewed in the United States on July 22, 2019"
76,T,no_title,We use this all the time where I work and it's the best stuff for thickening up our participants drinks so they don't choke.  This is the only stuff we buy and will only continue to buy this stuff.,"Reviewed in the United States on February 13, 2018"
77,5,no_title,"The doctor recommended my Mom switch to ""nectar"" thick beverages. This mixes up fairly well, especially when I use the stick immersion blender.  I let it sit in for a few minutes after mixing and it's perfect.","Reviewed in the United States on November 7, 2015"
78,5,no_title,Excellent price.  Delivery  exceeds expectations.  Product is excellent.  Thickens to desired consistency easily without changing the flavor of the product to which it is added,"Reviewed in the United States on April 26, 2017"
79,4,no_title,Helps food.,"Reviewed in the United States on January 1, 2021"
80,4,no_title,I believe it works on my dad because he is choking or coughing much less after using this product. Hopefully it will continue to work so he will have less chance to get pneumonia.,"Reviewed in the United States on August 6, 2020"
81,5,no_title,I use this product to thicken all liquids for my 99 year old Dad who has dysphasia. It’s easy to use and does not change the flavor of a variety of liquids which he takes.,"Reviewed in the United States on August 11, 2019"
82,5,no_title,Thanks again,"Reviewed in the United States on June 4, 2018"
83,5,no_title,My husband  he as  a Parkinson  for 12 years  this is working  good  for hem!,"Reviewed in the United States on March 27, 2019"
84,5,no_title,I use thick-it for my dog who has a mega esophagus.  This is the best price I've found.,"Reviewed in the United States on October 21, 2018"
85,5,no_title,Good price,"Reviewed in the United States on January 2, 2020"
86,1,no_title,It just gave my baby gas.  You can thicken the food with oatmeal or rice ceral.,"Reviewed in the United States on May 8, 2020"
87,5,no_title,Great for my daughter,"Reviewed in the United States on October 31, 2020"
88,5,no_title,As Advertised,"Reviewed in the United States on May 22, 2019"
89,5,no_title,"Like no taste, thick-it is fine. Works cold for sure, have not tried hot yet.","Reviewed in the United States on September 4, 2020"
90,5,no_title,Love this product. It works great!,"Reviewed in the United States on October 11, 2019"
91,5,no_title,This is exactly what I needed to help gram chock less on food and drinks,"Reviewed in the United States on May 15, 2020"
92,5,no_title,Easy to use for thickening many husband's liquids after his stroke; the consistency is smooth.,"Reviewed in the United States on October 15, 2017"
93,5,no_title,I buy this for my mother who has swallowing issues.  She says it's great and I buy it all the time for her.  She says no taste and it's easy for her to mix.  Happy with product and will continue to buy for her.,"Reviewed in the United States on June 8, 2016"
94,5,no_title,This is an awesome product!  Helps my Mom with her swallowing issues.  Love the fact that I can order it and not have to drive all over looking for it.,"Reviewed in the United States on July 10, 2018"
95,5,no_title,This is very important product for people with swallowing problems from having stroke.does not alter taste of food.Wont dehydrate person consuming it.What is great about having this available on amazon makes it easier to obtain.Not easily found in drugstores which is probably due to high demand.This seller provides it quickly.Good price.,"Reviewed in the United States on May 30, 2014"
96,5,no_title,"Have used this product for my husbands problems with aspiration.  Easy to measure and mix.  He has to have ""Nectar"" consistency.","Reviewed in the United States on October 8, 2017"
97,1,no_title,"No returns. Be sure you want and need this product. I purchased it for my dad who was put on a dysphasia diet upon discharge from the hospital, but before he’d even opened this one he had improved enough to not need it. Not able to return it, so $17.40 down the drain.","Reviewed in the United States on April 25, 2018"
98,5,no_title,Not sure what to say but price was ok.  Fast shipping,"Reviewed in the United States on May 3, 2020"
99,5,no_title,My wife has Huntington's disease and has trouble swallowing.  Thick-It works very well.  We keep a small can in the truck of our car for when we eat out.,"Reviewed in the United States on December 19, 2016"
100,5,no_title,It works as describe. The measuring spoon is buried half way down the container. The price was right.,"Reviewed in the United States on November 13, 2019"
101,1,no_title,Waste of money! Every drink I put this in ends up thinning out within minutes.,"Reviewed in the United States on February 14, 2019"
102,5,no_title,Had to have to reduce choking,"Reviewed in the United States on December 17, 2020"
103,5,no_title,Works great and doesn't affect flavor like some,"Reviewed in the United States on January 6, 2019"
104,5,no_title,Good price on an excellent product,"Reviewed in the United States on July 26, 2019"
105,5,no_title,This item dissolves easily. It does boys change the color or taste of beverages,"Reviewed in the United States on October 1, 2017"
106,5,no_title,"Super easy to use, has a TON of ways you can use this in everything, including going so far as to make a vegan pudding by replacing egg with this mixture and almond milk instead of regular milk. Works great, very tasteless!","Reviewed in the United States on May 24, 2020"
107,5,no_title,Amazingly this arrived with in hours of ordering for a person who desperately needed it,"Reviewed in the United States on April 8, 2017"
108,5,no_title,It is the original food thicken on the market and this is a good price for this size container plus I don't have to leave the house to purchase it.,"Reviewed in the United States on March 22, 2019"
109,5,no_title,Good for those with swallowing difficulties. Can get clumpy on the bottom but is tasteless,"Reviewed in the United States on November 10, 2017"
110,5,no_title,"It has directions on the back to instruct how to do pudding thickness and the like. We use this for a client, and it works wonders.","Reviewed in the United States on April 3, 2019"
111,5,no_title,This product is excellent for seniors having trouble swallowing.My dad has a pureed diet and we put this in his water. Pneumonia is cuased by inhaling a liquid.This will prevent it and the water goes down smoothly.  A life saver!,"Reviewed in the United States on May 13, 2019"
112,3,no_title,I bought the original Thickit because this time the Thickit 2 was $10 more. I should have spent the $10 because I am using twice as much Original Thickit in my coffee to what I used of Thickit 2 before.,"Reviewed in the United States on November 5, 2018"
113,5,no_title,"My friend's husband is in long term care, and chokes on fluids alot. uses this- it is good - no taste, bought from recommendation.","Reviewed in the United States on January 3, 2017"
114,5,no_title,Great time delivery.  It has no taste.  I use it for my ME dog.,"Reviewed in the United States on September 11, 2020"
115,5,no_title,My mother says thanks a lot . She uses for her boyfriend to eat or drink . And it  arrive on time when you just got out of the nursing home so thanks a lot it was a big help .,"Reviewed in the United States on September 27, 2019"
116,5,no_title,"I must use it for medical reasons and I love it, it world BEST if used in Hot liquids! This is not to say it does not work in cold, it does but you night have to stir it a few times, during your drink. If you have cold my suggestion is SimplyThick from EasyMix. I use BOTH!P.S. NOT that I do, but if you drink beer the SimplyThick mixes well with little foam if done slow!","Reviewed in the United States on March 21, 2019"
117,5,no_title,"Thick-It helps me in swallowing liquids, particularly in taking medications. Anyone with swallowing issues should use this product.","Reviewed in the United States on August 6, 2016"
118,2,no_title,This product works but you have to use a lot to get the consistency results. Don't be fooled at large container thinking it will last awhile because it doesn't. More expensive than Resource. Would not buy again.,"Reviewed in the United States on February 6, 2019"
119,5,no_title,"Good for individuals with Parkinson's Disease who have disphagia (difficulty swallowing).  Powder mixes well into everything.  Not gritty, and dissolves well.  After you mix the powder into food or drink, wait a couple of minutes for it to thicken....it does not thicken immediately.  Bottom line, best thickening powder I have found, and I have tried several well-known brands.","Reviewed in the United States on April 20, 2014"
120,5,no_title,"My husband has swallowing issues from Parkinson's. This is easy to use, disolves easily, and I can use as much as I need to make the consistency as thick as honey.","Reviewed in the United States on May 5, 2018"
121,5,no_title,Makes every drink easy to swallow for people who are having difficulty drinking from a glasss.  Use every day for my wife who has dementia and has difficulty swallowing liquids,"Reviewed in the United States on December 17, 2020"
122,1,no_title,It takes a lot to thicken a glass of juice! A tablespoon to thicken an 8 oz glass.  If it sits for a while in a liquid it devolves reguiring the need to add more vs actually thickening over time. It does desolve well in both cold and hot; yet du to the amount of thick-it needed I am wondering if this is the cause of mom’s recent constipation issues.,"Reviewed in the United States on July 1, 2018"
123,5,no_title,This is a huge container and is a good value for your money. I suggest using a little at a time until you get the right consistency.,"Reviewed in the United States on January 13, 2021"
124,3,no_title,The product is based upon corn starch.  It does dissolve easily in liquids.  It leaves a residue at the bottom of the vessel.,"Reviewed in the United States on February 25, 2020"
125,5,no_title,"Product does exactly as noted. Made orange juice into orange nectar so Dad could again drink juice. Follow ratio carefully. BTW: Unless you own a nursing home or have a basement leak, get the smaller package.","Reviewed in the United States on January 31, 2017"
126,2,no_title,Water tastes slightly sour and chemical-ish after adding. Also seems like you have to use quite a lot to get any action out of it. If you don't use enough it will just separate and settle to the bottom. The only reason it gets 2 stars is because it does do the job of thickening as opposed to doing nothing.,"Reviewed in the United States on December 8, 2018"
127,5,no_title,Does exactly what it is supposed to do. It thickens thin liquids for those who have a problem with thin liquids seeping into their airway and subsequent pneumonia that can cause.,"Reviewed in the United States on August 15, 2017"
128,5,no_title,This is an economical alternative to premixed nectar water. It does require planning ahead since it takes a few minutes for it to dissolve completely to provide the proper consistency for drinking when a person requires it for dysphagia.  Add some flavoring to make it more palatable.,"Reviewed in the United States on November 16, 2019"
129,5,no_title,This is a good quality thickener.  It does not get clumpy and thickens milk just right for my special needs son.,"Reviewed in the United States on October 3, 2017"
130,5,no_title,I have tried other thickeners for liquids and this is by far the better product. Works in any drinks. Perfect for anyone with an aspiration risk. I order two at a time and it lasts about 4 to 5 weeks.,"Reviewed in the United States on June 30, 2019"
131,5,no_title,"Works very well to get a honey consistency in juice, bottled water and 2% milk.  Have not had to use it in solid foods, nor would I try it in coffee or sodas.","Reviewed in the United States on July 4, 2017"
132,4,no_title,I purchased this for my father and feel better when he take food with this mixture..,"Reviewed in the United States on September 13, 2017"
133,1,no_title,This product is not very good! You have to use 3 to 4 times as much as other products  and it takes forever to thicken. I threw this in the trash and purchased ThickenUp. Much better product.,"Reviewed in the United States on September 3, 2019"
134,5,no_title,"I have ALS, and swallowing small pills is hard to do. Thickit makes it much easier. I thicken my coffee a bit too.Little or no flavor.Makes my life easier.","Reviewed in the United States on August 16, 2020"
135,5,no_title,"I originally purchased my first can of Thick-ut at a drug store. The price was much too high. Surfing to your website I found exactly what I wanted. a reasonable price, the packaged amounts were good, the service was fast.I had tried gels but they were disaster.The powder is easy to use, disolves well and not as messy.","Reviewed in the United States on June 29, 2009"
136,1,no_title,Tastes like I committed horrible crimes in a previous life.,"Reviewed in the United States on March 4, 2015"
137,2,no_title,"I was surprised at how big this container was and thought it would last a long time, but I was wrong! Compared to Resource ThickenUp Clear  by Nestle, I have to use 3+ times as much to get a nectar like consistancy in a 10oz cup. It also separates after an hour and does not mix again well and my poor son was choking/aspirating! It does say on the container ""For best results, consume within 30 minutes of mixing"" which I wish I knew before buying this huge container, but when someone has Dysphagia with liquids they tend to take smaller sips and don't always finish it within 30 minutes!!!! My son goes to an adult day program and I have to mix his drinks before hand (as they cannot because of liability) and I got a note saying that it was too thin and he was CHOKING! Not a good thing. I was pissed!!!!So I guess I'll use this at home, carefully till it's gone and will use Resource ThickenUp Clear by Nestle which can be mixed ahead of time, keeps it's consistancy and does not separate and uses 2 teaspoons for a 10 oz cup of liquid- compared to 7 teaspoons of Thick-It. I just wish it came in a bigger container.Another thing- this stuff is grainy and leaves a grainy film on cups, spoons, everything.","Reviewed in the United States on November 1, 2017"
138,T,no_title,"My dad had to have a total laryngectomy about 2 years ago due to laryngeal cancer. Living in the rural south, he and my mom have to drive about 3.5 hours (one way) when it is time for that prosthetic voice apparatus to  be changed out. 7 total hours of driving and heavy, traffic in a tourist city around a busy research hospital is tough. I did that drive many times for them when he was still undergoing treatments and having surgeries. He has found that the closer he gets to needing the prosthetic changed, the more he coughs when he drinks water or other thin liquids. He describes it as ""leaking"". Also, there are time when he feels that the prosthetic shifts and presses against the back of the throat causing choking. But since the visits to have the prosthetic reinstalled or adjusted are costly and not a hop, skip and jump away, he endures the discomfort. It feels to him like the prosthetic has shifted and is allowing liquid to leak into his lungs -- and as a result, convulsive coughing ensues. So I ordered this and it helps. He is still about a week and a half away from his next appointment to be refitted and the coughing is still really bad but with the thickener, its bearable. Before, he was so miserable and bitter that he was lashing out and being exceptionally negative. (He may have also been getting dehydrated which can cause mood disturbances.) He was absolutely killing my mom. That constant crossness and lashing out can really do a number on the spouse who has had to assume the role of ""caretaker"". I mean, my Dad is not disabled, but the ordeal of cancer has changed him and he depends on her more and sometimes seems to resent her ""wholeness"".Since he got this product (only 5 days ago), he and my mom (who are both retired) have taken two nice day trips to shop and eat in cities about an hour away all in the same week. All before, he had been sitting in the house day after day saying one negative thing after the other, vegging out in front of the tv and feeding off of negative news programs. Now he's out on a ""date"" with my mom and he is even talking about getting a nice room and spending the night with my mom in Charleston when they drive down for his refitting. And my dad is usually very money conscious (i.e., cheap!) so for him, this is big.No, this product may not alleviate all swallowing problems but for a person who has been suffering from a diminished quality of life due to swallowing issues, this product can be a game changer. For my dad, it gives him some power back - a tool to add to his arsenal of things he can do to help manage his condition. I think feeling helpless is where all that excessive negativity was coming from. Wish I had known about this sooner.","Reviewed in the United States on January 18, 2019"
139,5,no_title,This works as described.  I made a mistake and wound up having it in my coffee instead of DH's.  I liked it!It was comforting to have that little bit of thickness in my chocolate coffee.,"Reviewed in the United States on March 17, 2017"
140,4,no_title,"This did a great job at thickening the liquid--needed even less than the recommended  teaspoonfulls.I did notice a difference in hot versus cold  liquids or the consistanancy of the liquid themselves so that at times I needed more/less of the powder.  Only negative is that if you are drinking with a meal, it does get  thicker over time  rather than keeping a consistency as the gum based products do.  There is also a gritty  texture which is most prominent in water versus juice or coffee","Reviewed in the United States on August 29, 2019"
141,5,no_title,"My son has to use this now in order to drink any liquids. He has Friedreich's Ataxia, which has led to Dysphagia. Eventually, he will need to have a feeding tube but for now, thickening up his drinks to nectar consistency has helped his quality of life so much. He was coughing every time he took a sip of water before. I'm grateful that we can get such a large tub of this for this price because he uses it throughout the day.","Reviewed in the United States on May 5, 2018"
142,5,no_title,For my 89 yr old mother.  Used to help aid in swallowing which is sometimes difficult to do at this age. No taste so can be used in any food or liquid. Thumbs up and great price...CHEAPER than Walmart too...YEA!,"Reviewed in the United States on November 9, 2017"
143,5,no_title,"Thick-It Thickner allows my mom to comfortably eat and swallow her food and drinks. Recently we ran out of the powder so I ran to a local drug store to purchase another brand. BIG MISTAKE! The other brand didn't easily dissolve. Thick-It powder easily dissolves and does NOT clump! Plus, you get the best deal with this big jar, so don't bother trying other brands.","Reviewed in the United States on December 3, 2019"
144,2,no_title,The label changed on this order and I feel that the product did also. New label = Weaker product??  I'm needing to use atleast 50% more Thick-It to get the same consistency in my smoothies as I did previously.  It just might be time to look for other options.,"Reviewed in the United States on September 21, 2018"
145,1,no_title,"I just don't get it! My husband has been ""sick"" for 8 years, with his Parkinson's Disease and Dementia. And doctors/nurses/etc. have recommended Thick-It, so that he may supposedly, more easily swallow liquids and foods. But I do not find this to be effective at all, at least not  in my husband's case. I mix Thick-It into drinks and foods, only for my husband STILL to take forever chewing, eating, and swallowing anything. I see little or no difference in how he ingests his drinks and foods.","Reviewed in the United States on April 5, 2018"
146,4,no_title,thickens good...but you need to keep stirring it or it turns to a gel,"Reviewed in the United States on July 3, 2016"
147,5,no_title,"compares well to other thickeners!  I've tried several since I had a stroke in 1992!  Lots of years of surviving,","Reviewed in the United States on January 19, 2014"
148,1,no_title,Nunca me llego,"Reviewed in the United States on August 21, 2018"
149,4,no_title,This was purchased for my 88 year old father who has dysphagia. It helps him and he seems happy with it.,"Reviewed in the United States on September 23, 2012"
150,3,no_title,This is medically necessary and therefore not really something I'm excited about...,"Reviewed in the United States on September 26, 2017"
151,2,no_title,"If you have been using Resource brand, Thicken Up Clear do not try this Thick-It. You will  be disappointed! I have been using Thicken Up Clear for my son and thought I would try this other one thinking it would last longer but you have to use so much more of this one and it's just not worth it to me personally.","Reviewed in the United States on July 31, 2017"
152,5,no_title,Easy to thicken and works very well.  Unfortunately it takes quite a bit for each cup.  So I  am using a lot .  But it works so am very happy.,"Reviewed in the United States on April 22, 2021"
153,5,no_title,Mt husband has ALS and he needed this to for his drinks.  Thanks for your help.,"Reviewed in the United States on August 29, 2017"
154,5,no_title,Really like it,"Reviewed in the United States on August 17, 2014"
155,5,no_title,My foster puppy has ME and this is a necessity for him in order to keep him hydrated and survive!!!!!.,"Reviewed in the United States on October 2, 2013"
156,5,no_title,"For people with trouble swallowing this is a must have.  Great product.  Great deal, especially with free shipping.  I recommend Thick-It for everyone with even a hint of dysphagia.","Reviewed in the United States on April 12, 2012"
157,5,no_title,Does what it's supposed to.,"Reviewed in the United States on July 27, 2017"
158,3,no_title,The product was some what dissappointing. I wanted something that would thicken considerably more than this will achieve.Thank you.,"Reviewed in the United States on August 12, 2013"
159,4,no_title,Shipped promptly.  Serves my needs.,"Reviewed in the United States on April 21, 2015"
160,5,no_title,Great,"Reviewed in the United States on August 11, 2014"
161,4,no_title,We need this for a person who can no longer swallow easily and this product works well to thicken foods/drinks to the required consistency.,"Reviewed in the United States on January 15, 2013"
162,5,no_title,makes things easier to drink when you have trouble swallowing!,"Reviewed in the United States on August 7, 2017"
163,5,no_title,"My wife has Alzheimer's Disease and had been coughing each night when she swallowed her pills.  I finally realized this was a symptom, not a coincidence, and found that it is quite common.  I was somewhat doubtful that Thick-It would help, and thought it likely that my wife wouldn't like the thickened drink anyway.  I was wrong on both counts!  We've been using it for a week now, and she hasn't swallowed down the wrong pipe once.  Plus, she actually seems to like the effect it has on the liquid (apple juice, in our case) and has been finishing off any extra in the cup.  I'm using 1 Tbsp in 1/2 cup apple juice, the ""nectar"" setting.","Reviewed in the United States on June 2, 2013"
164,1,no_title,"Had I known this was a genetically modified product, I would never have purchased it. And it is not returnable. I only gave it one star because that is the only way to leave a review.","Reviewed in the United States on March 31, 2017"
165,5,no_title,It is helping with my dog that has Megasphoges hold down food and water,"Reviewed in the United States on May 8, 2015"
166,4,no_title,My little boy has dysphagia and isn't phased by this thickener! Thank you!,"Reviewed in the United States on October 20, 2015"
167,5,no_title,Purchased for In-Home Healthcare purposes.,"Reviewed in the United States on November 3, 2018"
168,5,no_title,"Works wonderfully, I have an elderly roommate and it helps her greatly with her favorite liquids and makes them much easier to swallow.","Reviewed in the United States on February 12, 2013"
169,5,no_title,"It came on time, I bot a lot so I didn't pay shipping.  It was what I expected.","Reviewed in the United States on August 2, 2016"
170,5,no_title,"My Dad needed Thick-It so that he can swallow his liquids. Without this he would have to go on a feeding tube, so we are very thankful.For too much information, BUT it might be information that someone else might need. It caused him constipation so I have added a softer to his morning drink. This seems to be the right balance for him. And like I said this is much better than a feeding tube.Now I really  struggled with buying products such as this on line, but so far they have worked just fine. I save $5.00 each time I buy from Amazon instead of the local store. When your on a budget $5.00 is a lot.","Reviewed in the United States on February 20, 2016"
171,5,no_title,GREAT,"Reviewed in the United States on September 5, 2015"
172,5,no_title,There is such a wide gap in prices for this item. Thank you Amazon.com for showing comparisons so I could get the highest quality at the best value!,"Reviewed in the United States on October 17, 2011"
173,5,no_title,Works as expected,"Reviewed in the United States on October 16, 2016"
174,5,no_title,It was a quick delivery but will order more.,"Reviewed in the United States on March 12, 2016"
175,5,no_title,The best out there,"Reviewed in the United States on September 19, 2016"
176,5,no_title,Great price,"Reviewed in the United States on June 3, 2017"
177,5,no_title,"We heard about this product from my mother-in-law's doctor who said that she needed it.  I don't know how it tastes, but must be okay as that is one thing she hasn't complained about!","Reviewed in the United States on March 26, 2012"
178,4,no_title,This is very good but needs to be added when liquid is hot and takes about 30 seconds to thicken the liquid.,"Reviewed in the United States on June 17, 2016"
179,5,no_title,A+,"Reviewed in the United States on July 2, 2014"
